City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,smithers,54.7804,-127.1743,25.24,31,71,2.46,CA,1692057600
117,isafjordur,66.0755,-23.124,15.23,62,9,2.48,IS,1692111600
118,rio grande,-32.035,-52.0986,19.72,81,46,3.42,BR,1691766000
119,urangan,-25.3,152.9,20.83,69,1,6.31,AU,1691992800
120,ushuaia,-54.8,-68.3,3.5,85,33,1.93,AR,1691690400
121,sechura,-5.5569,-80.8222,27.41,62,69,5.01,PE,1691690400
122,ribeira grande,38.5167,-28.7,25.35,72,44,4.73,PT,1691690400
123,labytnangi,66.6572,66.4183,23.67,50,89,4.64,RU,1692003600
124,lehliu-gara,44.4333,26.85,35.95,19,13,6.49,RO,1692100800
125,znamenskoye,57.1281,73.8282,16.14,80,100,3.01,RU,1692090000
126,port lincoln,-34.7333,135.8667,14.11,72,82,4.81,AU,1691820000
127,viedma,-40.8135,-62.9967,23.33,30,68,8.57,AR,1692036000
128,winnemucca,40.973,-117.7357,34.67,11,67,4.43,US,1691971200
129,lebu,-37.6167,-73.65,14.2,78,100,2.03,CL,1692036000
130,anadyr,64.75,177.4833,16.37,59,80,1.78,RU,1691992800
131,aioun,16.6614,-9.6149,40.12,19,38,5.34,MR,1691690400
132,oranjemund,-28.55,16.4333,22.06,42,6,3.0,NA,1691690400
133,ngaoundere,7.3167,13.5833,23.96,79,89,0.46,CM,1691755200
134,lapovo,44.1842,21.0973,32.9,22,0,5.27,RS,1692014400
135,konarka,19.9,86.1167,33.54,56,82,4.38,IN,1691733600
136,mount gambier,-37.8333,140.7667,14.23,63,99,4.35,AU,1691722800
137,ta`u,-14.2336,-169.5144,27.92,75,79,6.86,AS,1691722800
138,potoci,43.4086,17.8786,35.37,28,6,1.69,BA,1692100800
139,luchegorsk,46.4764,134.2569,29.1,52,7,0.94,RU,1691992800
140,howick,-29.4779,30.2306,28.94,16,12,2.73,ZA,1692014400
141,portage la prairie,49.9728,-98.2926,29.18,29,42,2.78,CA,1692057600
142,udachny,66.4167,112.4,26.01,35,97,5.32,RU,1691830800
143,san cristobal,7.7669,-72.225,28.95,51,82,3.42,VE,1692036000
144,kyzyl,51.7,94.45,28.93,31,22,2.39,RU,1691744400
145,kukawa,12.9234,13.5606,32.39,49,16,2.57,NG,1691755200
